genes	logFC	logCPM	F	PValue	FDR
TGM5	3.92664681425832	2.75560142877182	510.729009302458	8.18221558621858e-25	1.34605628608882e-20
COL23A1	4.06842786546716	2.88365852085713	421.146578266602	1.75222033624211e-24	1.44128883757595e-20
ZMIZ1-AS1	3.54714415783027	-0.512291417086411	241.264929541869	5.20160172305439e-22	2.85238499819893e-18
NDUFA4L2	3.76015575292177	5.56282124910792	383.492107187003	8.30025950737142e-22	3.41368922889418e-18
LINC02649	3.27051747868364	0.789474610404058	237.586705458098	1.91092830705082e-20	6.28733631585861e-17
FBXO32	2.63839070432445	3.09739203020212	349.015058374088	1.02947197743249e-19	2.82264058345697e-16
PNCK	4.09601991254672	3.52427714266772	267.462936690418	1.2525961619566e-19	2.94377992290687e-16
PRDM16	4.07299218566993	2.15123009772657	222.576689091546	1.82749996164114e-19	3.7580252336198e-16
TMEM74B	3.6672944685263	1.8392005070177	232.19512882024	2.44416644259e-19	4.46766468300534e-16
PCAT6	2.71487553448741	3.56554683108969	321.15620376539	3.42990447387344e-19	5.6425358499692e-16
KISS1R	3.6317362404235	2.15941412248189	304.382550301102	4.53033694200946e-19	6.7753248211816e-16
PDE4C	3.98037778626469	0.650129359476618	220.580383358205	8.52029420105505e-19	1.15746232722065e-15
CARNS1	2.78833553997291	1.80283889865947	289.346959332951	9.14656267331376e-19	1.15746232722065e-15
RP11-60L3.3	3.44343435421726	-1.05916473440963	197.098564995869	1.60582152613439e-18	1.88695499474549e-15
KRT42P	3.02912467539351	0.223516025404917	189.781358099215	1.93763799952423e-18	2.06896968404057e-15
SLC2A1-AS1	2.20879496472805	2.32037406059113	287.516926959709	2.11870305537409e-18	2.06896968404057e-15
LINC02656	3.34389495538552	-0.101154509738801	162.849219290788	2.13801499171417e-18	2.06896968404057e-15
CA9	4.02431666638458	4.65425060084261	216.038719058181	3.37557514110938e-18	3.05277700781444e-15
PLCH2	3.25083685273396	3.93332775936436	278.192777080606	3.63731622713866e-18	3.05277700781444e-15
PRIMA1	2.76008759733363	0.53353513677012	225.860140452532	3.86370941210465e-18	3.05277700781444e-15
