genes	logFC	logCPM	F	PValue	FDR	sig
GALNT5	5.53296172650203	1.83891422225211	286.113762367133	5.26015323221059e-32	9.17265520632883e-28	Up
YKT6	1.90284756327153	6.07287809431442	273.838685230461	1.11259033229861e-29	8.66088936135039e-26	Not Sig
FGF2	5.63446361928737	0.440504292514429	230.173849968571	1.49000275742925e-29	8.66088936135039e-26	Up
SBDS	2.07640850238908	5.1949412285863	269.151600227526	2.04451932528219e-29	8.91308199856772e-26	Up
CSF2	7.31271779804975	-1.19085988815029	203.6735473948	9.23504562793021e-29	3.22081451319694e-25	Up
NIPA2	2.11597274168138	5.11459049554114	252.261161385159	1.95453413152165e-28	5.68052769757908e-25	Up
GLIPR1	6.0690393985731	1.45345902397458	220.360122918309	2.02219383463146e-27	5.03757372690048e-24	Up
CDR2L	2.02874391997308	5.93210761927995	229.712423209085	4.7543756867682e-27	1.0363350403233e-23	Up
BTBD10	1.56487297872783	4.57945375986209	225.033020218801	9.49107957309147e-27	1.79146501636271e-23	Not Sig
FAM118B	2.10078049357222	3.8207346172654	224.516020843997	1.02733399263832e-26	1.79146501636271e-23	Up
SLC29A4	-3.46154667866013	4.23554697085606	223.135643984222	1.26224360863041e-26	1.87777958482824e-23	Down
EDAR	5.15659182250736	1.86106627378005	221.485796465303	1.29219836093238e-26	1.87777958482824e-23	Up
YRDC	2.05021520391419	3.78785917190213	220.99922911482	1.73873528378165e-26	2.33231275989111e-23	Up
TCEA2	-2.53267713488992	5.0325904942296	219.56110953561	2.15461860321981e-26	2.68373137163907e-23	Down
BCL2L15	4.08180661885064	4.3344748884146	218.962560451033	2.38201399198314e-26	2.7691706661468e-23	Up
SLC52A2	2.07220383495805	5.66533863254537	218.313051812924	2.60195123389548e-26	2.83580160104184e-23	Up
TGM7	-6.81802545750808	2.93127191412773	211.80334926001	3.40594843964701e-26	3.35249194554239e-23	Down
TLNRD1	1.85333517566959	5.43544678037175	216.442420989426	3.46053762012634e-26	3.35249194554239e-23	Not Sig
OLFM2	-4.18096517553317	4.47633103042594	215.501606345273	4.01825977088449e-26	3.68791652024651e-23	Down
LINC02649	-6.20195981769638	1.26248752430773	186.225756816339	6.01125464308959e-26	5.24121292330981e-23	Down
PSME3	2.23317018694505	6.61582960035094	210.217704651988	9.0382336382491e-26	7.01158941993984e-23	Up
SLC25A44	1.93828609558257	4.50337941869011	210.147708302025	9.15192860706808e-26	7.01158941993984e-23	Not Sig
NOP9	1.77636569218316	5.12326524863861	210.074895453224	9.24799613823927e-26	7.01158941993984e-23	Not Sig
TRIM16	3.00915529266121	6.0870511532133	207.719082891669	1.33689464720964e-25	9.71365369085072e-23	Up
ARNTL2	2.25477854262557	4.50784242778055	204.166765990689	2.34738069407267e-25	1.58137470106268e-22	Up
GSPT1	1.46557358973636	6.63595736320186	204.128790373021	2.35782441952229e-25	1.58137470106268e-22	Not Sig
TMEM8B	-2.24861299453384	4.61864608333859	202.07745569488	3.27538728552052e-25	2.11541494388544e-22	Down
SLC25A32	2.52094496328154	2.95375762396935	201.33530619581	3.72980170466247e-25	2.32286721878229e-22	Up
ETF1	1.73377480579139	6.24969796850132	200.282344112082	4.36535907730039e-25	2.62493557206773e-22	Not Sig
NCEH1	2.77864848481231	4.20604195664434	200.073011189358	4.52834734005293e-25	2.63217736386144e-22	Up
SULT1A1	-2.90912019316846	5.52593489207349	197.846713310664	6.4807210011824e-25	3.64551009092318e-22	Down
RAB5IF	2.12722448087994	5.63058363555924	197.506795737453	6.84421097521374e-25	3.72966721830554e-22	Up
RPS6KA4	2.42971490907235	4.6104296389232	197.127138242183	7.28962562753305e-25	3.77201226983667e-22	Up
VKORC1L1	1.70643654096364	4.8502974640298	197.06898642811	7.35453705553657e-25	3.77201226983667e-22	Not Sig
MTRF1L	1.54088954291567	4.11405953271112	195.456169291589	9.57963275102375e-25	4.77284674035292e-22	Not Sig
ISG20L2	1.71628255048761	5.17214902334873	195.118329790371	1.0114869788644e-24	4.89953053817707e-22	Not Sig
BDH2	-1.54239669597219	5.70167213250416	193.666654911273	1.28362746430563e-24	6.04970154663828e-22	Not Sig
RP11-116O18.3	-5.28541780379755	0.0834207110479049	165.852246010298	1.37097643318242e-24	6.29133869521975e-22	Down
NOL6	2.31952244206713	5.09739285019016	192.533621974189	1.5491352015308e-24	6.92662042161385e-22	Up
GTPBP4	1.7930526267053	5.53760977796009	191.798595716439	1.7489141713275e-24	7.62439132990225e-22	Not Sig
SRF	1.42750443533598	5.5129407336811	191.629462421064	1.79857582266266e-24	7.64965004770524e-22	Not Sig
EHD4	1.90291008791807	5.81486510359034	191.056089258852	1.97833007197947e-24	8.21383804647094e-22	Not Sig
DKK1	5.72482857422001	4.53726691042807	189.748206397515	2.55002863187767e-24	1.00251837402972e-21	Up
ACTR1A	1.44720465656839	6.38252194491079	189.474973425802	2.57538155298004e-24	1.00251837402972e-21	Not Sig
RBBP8	1.74123071568712	5.43801977857688	189.449898185615	2.58707000982552e-24	1.00251837402972e-21	Not Sig
BNIP3L	-2.98259518348254	6.46038833960885	188.274724380117	3.15010728399102e-24	1.19416458300512e-21	Down
CA12	-3.15929411333966	7.98606963422588	187.864134465203	3.37483826102977e-24	1.25213679991143e-21	Down
SMIM12	2.00480573195921	4.2482115299013	184.187707742842	6.30218775904353e-24	2.26162552374962e-21	Up
CIAPIN1	1.73984433058384	5.00405764069871	184.132990628251	6.35506655945242e-24	2.26162552374962e-21	Not Sig
ABCA2	-3.42739108588825	6.81134399996401	183.685470652205	6.85646785136175e-24	2.39126172784092e-21	Down
PSMD11	1.60497607900723	5.89004028146893	183.104233880645	7.57188244500045e-24	2.58898992305721e-21	Not Sig
