genes	logFC	logCPM	F	PValue	FDR
SST	5.67894620643493	4.38936325638463	702.814407232099	2.09221337919585e-28	3.44190023011509e-24
COL23A1	4.28063893317639	2.88365852085713	490.351584036039	7.71988095879774e-26	6.34998808265908e-22
CD55	2.52650481698967	7.97502737687098	482.597107400556	4.78004543429389e-22	2.62121758131896e-18
RP11-856M9.1	3.28659797837188	0.604233909623776	313.516901904759	9.56226001365339e-22	3.42632758373181e-18
RP1-153G14.4	3.4102096616207	-0.542274856834653	235.954382316361	1.04137365015252e-21	3.42632758373181e-18
PHACTR3	4.04544516970996	0.35932888879327	282.71246304488	6.84308418500508e-21	1.87625963212531e-17
SULT1E1	4.89901742944851	0.00974138149658854	290.296970120126	2.71403024557094e-20	5.79203761077277e-17
TNXB	3.85183183042404	1.28184120938503	269.94646859835	2.81662518303946e-20	5.79203761077277e-17
RP11-1029J19.4	2.89401154125395	2.08209197809126	272.344211434158	5.83818574802263e-20	1.067155486008e-16
SHC2	3.56795508542328	3.37259710252622	338.480676507362	8.66540027285811e-20	1.42554499888789e-16
ADSS1	2.73933508966142	3.754409530914	343.434944752643	1.18195841021819e-19	1.64022618097692e-16
PER2	1.91411666731656	4.94367981943929	340.783888353184	1.30894465496333e-19	1.64022618097692e-16
LINC02649	3.10263712960135	0.789474610404058	215.701830274984	1.35321215690753e-19	1.64022618097692e-16
PAEP	3.83964585030861	6.74443018740769	306.330106821205	1.39585232105506e-19	1.64022618097692e-16
PANX2	3.04532499911374	1.860027507368	318.86411661768	4.34803389266948e-19	4.7686337045537e-16
EVA1C	1.93724293219493	4.3463526972192	311.363618088582	5.50503876699974e-19	5.66021204724455e-16
ATOH8	3.69001890383577	0.93276815001105	308.840668070818	6.01691691456728e-19	5.82260589185567e-16
TREM1	3.30851730058236	3.72958054405678	263.47863259023	7.00715138451458e-19	6.4041470792583e-16
PDE4C	4.01459028505994	0.650129359476618	222.192580296668	7.44613470419558e-19	6.44717694835377e-16
SCGB1D4	4.13895196469851	2.6371777443311	297.961000780931	1.00253181108139e-18	8.24632541204995e-16
YPEL4	5.27696157304904	-0.116777851836127	346.19646852259	1.09916486852572e-18	8.61064821529363e-16
RP11-689P11.2	2.88022093189846	0.258473027954124	216.494779665097	1.73091373161234e-18	1.29433008176157e-15
KRT16	3.60661277774421	3.3868314369982	286.8075829532	2.06552781821522e-18	1.47739122336776e-15
TMEM74B	3.47419364638693	1.8392005070177	204.637098795407	2.58214822310313e-18	1.7699550174279e-15
CCN5	3.48322412924524	2.08885309502716	227.715469736555	3.59984818922219e-18	2.36009928050703e-15
STIMATE-MUSTN1	2.49573274143191	3.72428635260124	274.563160159628	3.94814373953881e-18	2.36009928050703e-15
HIF3A	3.30953482519256	4.22767231240501	275.549238200459	3.98478427210618e-18	2.36009928050703e-15
FBXL16	2.91972542383405	1.10239652247714	213.053007191054	4.02411288588046e-18	2.36009928050703e-15
S100P	4.61450251492439	4.58318707861348	232.72963748277	4.16040843320794e-18	2.36009928050703e-15
C2CD4C	3.42755806877019	-0.763739387632681	176.464182244485	4.86392919130981e-18	2.66721663754125e-15
MSLNL	3.57098932550403	0.170324235624776	144.690552569954	6.01711095106298e-18	3.19314491148184e-15
CCDC28A	1.84474251932341	4.5176001437004	261.169029797388	8.53150691928603e-18	4.38599438528671e-15
VSTM2L	2.42343902502795	1.2025094449356	248.514091258855	9.95602806486589e-18	4.96323083924572e-15
SLC11A1	2.48319738979362	1.37240398921888	251.604800746606	1.06865156196265e-17	5.17070201348459e-15
PIM1	2.11583428969203	4.01373936412963	256.815689582597	1.1077192147036e-17	5.20659680031114e-15
BCL6	1.99398280388237	5.24505418538461	251.538583764155	1.52266006052007e-17	6.95813351544878e-15
CREBRF	2.37566263125373	2.73371139865553	248.086633882055	1.91772770676782e-17	8.36283209227711e-15
AQP7	2.3816950067984	1.9200568399641	241.857223965976	1.93172220233743e-17	8.36283209227711e-15
FCN3	3.48696117312832	-0.168641396929295	171.584537100367	2.15085979252722e-17	9.07276780688854e-15
COL6A2	2.81586503747447	5.76085797460197	241.929532585791	2.52790117919605e-17	1.02339204161725e-14
MROH7	3.75730098290962	0.381656169127807	149.355446789855	2.55961244271132e-17	1.02339204161725e-14
HDAC5	1.9848354654553	4.05127024833282	242.911880646146	2.61275702072362e-17	1.02339204161725e-14
SERPINE1	3.19449496261734	3.04739840004449	239.730899561846	3.05917717835459e-17	1.17038427351422e-14
LMNTD2-AS1	3.47196178954618	5.51648747653451	233.166179864216	4.93157698239762e-17	1.84384938494144e-14
GABARAPL1	1.99364456736658	4.29685556145521	231.260459617068	5.52777212037681e-17	2.02083064782931e-14
LINC02656	3.10503797439517	-0.101154509738801	139.111989460213	5.74687740976736e-17	2.05525826669745e-14
RP11-394B2.6	2.85621916330343	0.361862309125415	172.250783691936	6.64287428766695e-17	2.30490587595679e-14
EHD2	3.04460729154873	4.33034754683888	228.928551703724	6.72515239474355e-17	2.30490587595679e-14
NFATC4	3.03003365257781	4.57286830091326	227.391398067815	7.65218380478268e-17	2.56910358719347e-14
CACNA1F	3.34910799882636	1.32423606178201	188.6815388699	8.46225741538507e-17	2.74121139706371e-14
FAM13A-AS1	2.21395767797469	1.74085291582719	226.640413707526	8.49807192573395e-17	2.74121139706371e-14
SLC16A5	1.28179233287881	4.52909943803378	224.110114574605	8.90863832191077e-17	2.81838478911065e-14
FBLN2	2.47647751043822	5.61093382632135	221.925894302186	1.03414741724989e-16	3.20995455871281e-14
PTPRR	2.91160941111681	2.65674260070947	196.195287860851	1.28385803716839e-16	3.84364569805056e-14
SPIRE2	1.81112306222147	4.64879857522485	218.54191552672	1.30615036372334e-16	3.84364569805056e-14
SULT2B1	2.38438508775938	3.56725927411012	218.705196713919	1.3083955935252e-16	3.84364569805056e-14
RP11-43F13.4	2.94433996385894	1.27191919709416	195.086009554574	1.55881188584649e-16	4.49894988316853e-14
CTA-363E6.8	2.6249930890305	-0.392878644247238	161.701029530096	1.72854331621888e-16	4.90280449915808e-14
WSB1	2.1338657194982	8.16326044249774	213.541051795466	1.84962567118618e-16	5.15732066384472e-14
KLHL24	1.85275440886277	4.17246468376482	212.526763101136	1.99139411149505e-16	5.46007075470083e-14
RIMKLB	2.4545679690345	6.0457601710028	211.749664292935	2.10028247322059e-16	5.66422081425441e-14
C1QTNF8	3.26303890652437	0.166543873994768	150.860741601319	2.3048981184677e-16	6.11578692692131e-14
