genes	logFC	logCPM	F	PValue	FDR	sig
PHACTR3	6.12847530853623	-0.683846598073261	187.372890088927	6.31718106345561e-28	1.10159003384539e-23	Up
CALCA	-5.76695063962813	2.2525394449656	176.168608107868	5.76080075982912e-26	4.58663129565326e-22	Down
PFKM	-1.89197390843554	5.70375353469958	211.090841746564	7.89075231503601e-26	4.58663129565326e-22	Not Sig
VSTM2L	4.708261135769	0.413968338691333	182.937788058478	2.06974003782367e-25	9.02303169489229e-22	Up
GATA2	9.3899171319234	0.737704565052144	171.630870860879	2.74328079301598e-24	9.56746609372252e-21	Up
EVA1C	3.11323685858245	3.80548363410348	177.742275150759	1.92408003078079e-23	5.59201792945923e-20	Up
APEX1	-1.54952587105193	7.7351004159305	169.280827989461	8.5865575800018e-23	2.02556078637997e-19	Not Sig
PORCN	3.01553024669371	4.20355013323962	168.852098817829	9.29262890872792e-23	2.02556078637997e-19	Up
NCAM1	-2.5217599876923	5.12879328653407	156.622662121894	8.91039507202861e-22	1.72643854740039e-18	Down
FGFBP1	4.52914255048471	6.62066163666795	148.314419044013	4.41765347259702e-21	7.70350412551469e-18	Up
TFCP2L1	4.18470373205687	3.64783303218728	146.724975399302	6.06195786905633e-21	9.60985648369129e-18	Up
SHISA3	-5.88093745237343	2.7249532042802	130.742097569917	7.50059572489632e-21	1.08996156875618e-17	Down
VAV3	-2.19638302025694	6.0847658946487	139.709389231003	2.4589410459685e-20	3.29838568919991e-17	Down
ID2	-2.51069883638009	5.83955389896415	138.385757382987	3.22070401553461e-20	4.01161690163518e-17	Down
SIGLEC15	-3.37813691649737	6.02538501493643	137.36246502747	3.9729477384728e-20	4.33005305390259e-17	Down
PAEP	6.62222028032884	5.89071209667288	134.042294613676	3.97298135465314e-20	4.33005305390259e-17	Up
MYH14	1.91283375161154	7.44581345926515	136.48386274806	4.75847773708165e-20	4.88107851642528e-17	Not Sig
SULT2B1	4.40856210993303	2.91151081819737	135.644615540067	5.75378483155421e-20	5.57413888292458e-17	Up
SPRYD4	-1.29013281513051	3.88173276823471	134.22050189154	7.61598682587546e-20	6.98987254050612e-17	Not Sig
CCN5	5.33355967989699	1.92134871880442	123.612472285336	1.08682384920492e-19	9.47601714121773e-17	Up
MAFK	2.39364394998486	5.86418289246587	131.31200977571	1.39901383650861e-19	1.16171444195415e-16	Up
KCNC4	3.28589595936098	2.90223409423985	129.426610237069	2.11629872000055e-19	1.66953920940558e-16	Up
LRRFIP2	1.26110269980551	5.04765276760987	129.172616418298	2.20205309188716e-19	1.66953920940558e-16	Not Sig
SERPINB9	2.23010315198472	4.44073013749376	127.26367026044	3.31421881798695e-19	2.40805615616901e-16	Up
ATOH8	4.03165199035475	0.121390443630698	126.13001386824	3.49836509418172e-19	2.44017962049363e-16	Up
KRT16	5.47538563911827	2.70783472490882	126.420016015794	4.07129057115209e-19	2.57323665945315e-16	Up
RP11-1029J19.4	3.73568214080511	1.70584223779268	121.963354331179	4.17329100932108e-19	2.57323665945315e-16	Up
ARG2	2.99992127108683	3.55646429812729	126.142420681848	4.23500148743645e-19	2.57323665945315e-16	Up
LINC02418	-5.64068834055326	2.20282137410909	123.887682572185	4.27938198899767e-19	2.57323665945315e-16	Down
TFPI2	3.36326263866302	5.62295814111936	125.649716868697	4.69148287429567e-19	2.7270026120656e-16	Up
FBN2	-2.65334782467126	5.97151789182516	125.377812598438	4.97742786426666e-19	2.79988345474458e-16	Down
SIK1B	2.49422790316797	4.24585980259592	124.348907754722	6.22631957694328e-19	3.39295502446053e-16	Up
PDLIM3	3.72873653602529	-0.788010842986077	119.120604411001	6.77532666412418e-19	3.58024685966659e-16	Up
GNPDA1	-1.64879129986101	4.60758550703061	123.582778442903	7.35437322295265e-19	3.77192824299554e-16	Not Sig
IGSF9	-2.76072756669608	4.7020085819444	121.200554484563	1.24156879135839e-18	6.18585045248791e-16	Down
PCCA	1.72694274837396	4.69040068140478	119.241907004654	1.91703065466226e-18	9.28588348777792e-16	Not Sig
KRT4	-7.76607588417383	2.35859475344239	107.707405459775	2.02871543243371e-18	9.56128100291324e-16	Down
EVC	-2.99432351518467	3.50931440547521	117.74826548872	2.68858154379855e-18	1.23377592001997e-15	Down
SUOX	-1.49557305476342	4.73551808429191	117.458969604586	2.85749662431821e-18	1.27766733679131e-15	Not Sig
HMGA2-AS1	-4.41272984189107	1.59547317031509	111.50809688622	3.02721857590866e-18	1.31971593816738e-15	Down
COX6B2	4.55131951976623	3.37183347518924	114.833516368006	3.5784635107391e-18	1.52198162683582e-15	Up
CTTNBP2	-2.65792878832802	3.78885905655507	114.668722238529	5.38588044756755e-18	2.23616626773055e-15	Down
FZD10	-2.51210229354523	5.20382151024519	113.472174186218	7.06518794040655e-18	2.86518016987929e-15	Down
FYN	1.67476294697173	5.65158114172097	112.437065786151	8.95964238912696e-18	3.55086918139991e-15	Not Sig
SLC16A6	3.49463502934648	0.634301756772253	112.452863743702	1.01380791253125e-17	3.9286183063822e-15	Up
ADSL	-1.15800654540915	5.7699917936405	111.343236758435	1.1535773378242e-17	4.37306122108226e-15	Not Sig
ADCY7	2.54601237998154	2.6078183932404	110.233693023709	1.50197804271849e-17	5.47178422907612e-15	Up
ZAN	5.18258893732818	-0.928782619921352	100.39310235981	1.50616838511099e-17	5.47178422907612e-15	Up
RIMKLB	2.50510335293604	5.57000037588225	110.044685038334	1.56002512822861e-17	5.55177922164295e-15	Up
ZNF608	-1.6246161042341	5.49671704305778	109.581589415039	1.73818793683888e-17	6.06210424851928e-15	Not Sig
AMDHD2	-1.59597991282447	3.93682208606939	109.267393588633	1.87231707422083e-17	6.40185590985545e-15	Not Sig
TRMT5	-1.1248442425042	3.88450043026249	108.81098018799	2.0838030310316e-17	6.98795331829404e-15	Not Sig
LRRTM1	-4.10779225993609	3.35430335493798	108.687724905703	2.17221950714262e-17	7.14701203123642e-15	Down
NR2F1-AS1	-2.43643630522595	2.52658007923679	108.345756246941	2.33985629164778e-17	7.47475034673739e-15	Down
A1BG-AS1	3.72648126736928	1.81589634366796	104.866860222405	2.35755974922902e-17	7.47475034673739e-15	Up
RP11-347C12.3	2.0113426109786	2.25347328343119	106.437531393366	3.70140897381111e-17	1.15259231580925e-14	Up
NPTX2	4.15698152029428	0.701354710642207	100.802741027125	4.07002610768015e-17	1.24514237308292e-14	Up
RP11-7K24.3	2.21263757442	2.35637287377136	103.590897336946	7.25954580649748e-17	2.18261999609833e-14	Up
NR4A1	2.66709486549984	3.85689107209152	103.303288270344	7.72742737544653e-17	2.28391319615316e-14	Up
TMEM98	-1.71482783812853	4.54310094364604	103.184594822117	7.94532058769891e-17	2.30917500680489e-14	Not Sig
LINC02672	-3.44310536423892	4.32425095681498	102.931684274111	8.45424808108021e-17	2.38223987859125e-14	Down
JRK	-1.53724238646861	3.61824264869008	102.923354284252	8.4699433692314e-17	2.38223987859125e-14	Not Sig
RAB11FIP1	1.49011264156529	7.32905877726151	101.333286064753	1.2440825042929e-16	3.44354138251739e-14	Not Sig
TRAM1L1	-3.91011598335439	0.100101790393916	97.321180194999	1.3032305354849e-16	3.55089594965401e-14	Down
RPS6KA1	0.754266839763818	6.51752491898881	100.999977997201	1.34945188111382e-16	3.57233647184444e-14	Not Sig
TGFB2	-3.05789012090513	4.6542779361336	101.000061816835	1.35207137941125e-16	3.57233647184444e-14	Down
PTCHD4	-2.41298256376768	1.86259728811662	101.004416249082	1.379164166725e-16	3.58953205064934e-14	Down
CLDN5	4.59321041058916	0.0246133810503084	91.6125736956399	1.48907222107134e-16	3.81859432221206e-14	Up
SULT1E1	9.55732386456929	-1.02403894427214	104.244909778423	1.6517997225216e-16	4.17450486396111e-14	Up
SLC46A2	7.00394786397067	-1.2503211543161	90.2899885537009	1.70395160336954e-16	4.24478686565115e-14	Up
CILP2	3.16882833140099	2.67603124279699	99.9307022200451	1.76735669098025e-16	4.34072760243853e-14	Up
DHRS9	5.00827555976564	3.54892855096843	99.4805037725071	1.8491825140395e-16	4.47861731664177e-14	Up
ROR2	-1.36433026682067	5.6966469071744	99.4893901202294	1.95413848445329e-16	4.66798176601322e-14	Not Sig
WDR3	-1.49120990675124	5.1469936930202	99.4281975474954	1.98425745109553e-16	4.67587586921673e-14	Not Sig
ACOT9	1.17743543030619	4.83964659528432	98.9498917476899	2.23255522195488e-16	5.19083972805988e-14	Not Sig
TNFRSF18	2.64929649720753	2.32050082838455	98.2160199016383	2.4290142046332e-16	5.57330917110444e-14	Up
MAP1LC3B	1.34771689636784	6.05480941407603	98.2447343544403	2.65698129480504e-16	6.01719997646886e-14	Not Sig
SSTR1	-5.97902157133509	2.01503452991952	94.3787620572827	2.73587608100954e-16	6.11643680777491e-14	Down
ADAMTS1	-4.49072010916194	6.60232828739507	97.5365720296398	3.16832657431237e-16	6.99357959529862e-14	Down
FZD10-AS1	-2.26632727320845	4.14308180165661	97.2478984613002	3.4063908338044e-16	7.42508041998514e-14	Down
AC068134.6	6.87229593966062	-0.325525117048634	89.9164480476855	4.10013846899549e-16	8.82694007683252e-14	Up
PRKCB	-3.17939650690494	0.741833647369379	91.0582524186751	4.15867512190252e-16	8.84377765557759e-14	Down
SCTR	-8.51395707431624	-0.467200977478755	95.6035187960703	4.71689688887729e-16	9.91002987328218e-14	Down
EFHD2	2.20028937813183	6.96406736243367	95.7967114412587	4.8912777581408e-16	1.01540597079118e-13	Up
MPZL3	1.41752714979337	4.93260827327029	95.3310947590643	5.49917639037628e-16	1.1281722105339e-13	Not Sig
PID1	3.13642675488632	-0.488169161497782	88.2303022787911	7.78320173325321e-16	1.57817990493569e-13	Up
CPVL	-2.14061170925522	4.66263784257323	93.8839727934395	7.92797614136907e-16	1.5890580224505e-13	Down
SLC12A9	-1.47113533075484	5.23141089499653	93.6674644881319	8.37194949586598e-16	1.61817889386953e-13	Not Sig
KRT17	3.70529331888343	7.47741890920545	93.661337409042	8.38450009611355e-16	1.61817889386953e-13	Up
NLE1	-1.80709371284876	4.42056613312691	93.6434027805086	8.42641402922482e-16	1.61817889386953e-13	Not Sig
HAGH	1.2772179351191	5.17514283302001	93.6335569027871	8.44444772004399e-16	1.61817889386953e-13	Not Sig
