genes	logFC	logCPM	F	PValue	FDR	sig
HMGA2-AS1	3.79041835241191	1.59547317031509	49.9247979868867	1.74961540371069e-10	1.92620704220364e-06	Up
SIK1B	-2.17467523219443	4.24585980259592	50.1353348194214	2.50933592786734e-10	1.92620704220364e-06	Down
PCCA	-1.53596490730362	4.69040068140478	48.5576860565336	4.25533633596165e-10	1.92620704220364e-06	Not Sig
NR4A1	-2.51305888139896	3.85689107209152	48.4472011476017	4.41841275881096e-10	1.92620704220364e-06	Down
KRT17	-3.37901516788245	7.47741890920545	45.5501606911227	1.18518285410415e-09	3.71599082976041e-06	Down
KRT16	-4.40331219515528	2.70783472490882	45.3227099875095	1.2899101078531e-09	3.71599082976041e-06	Down
SERPINB9	-1.84196267520518	4.44073013749376	44.8846883388117	1.49168114510396e-09	3.71599082976041e-06	Not Sig
PORCN	-2.02637670696653	4.20355013323962	41.8236661326031	4.35932356497774e-09	9.50223554076022e-06	Down
ATOH8	-3.7671867106966	0.121390443630698	39.636959867915	9.16413953278753e-09	1.77560294636388e-05	Down
SIGLEC15	2.32543628550615	6.02538501493643	38.334545862062	1.52757010197441e-08	2.66377674382298e-05	Up
TFCP2L1	-2.76255678180685	3.64783303218728	36.1464996410748	3.41793428060874e-08	5.41835799865956e-05	Down
PMEPA1	-2.73595084612354	2.33589327106321	35.5728466129789	4.24322636896069e-08	6.16611511849471e-05	Down
FKBP5	-2.09073366579737	3.72314239106885	35.2739187216986	4.72949725420263e-08	6.34407485529119e-05	Down
RIMKLB	-1.90509014882243	5.57000037588225	34.6836871048736	5.89766697069273e-08	7.34596547392428e-05	Not Sig
LRRC1	-0.692615187734876	4.48893781429076	34.0694290810199	7.43357373391171e-08	8.64177725146349e-05	Not Sig
ARG2	-2.1899633752637	3.55646429812729	33.783095746169	8.28877620398354e-08	9.03372996531656e-05	Down
MAFK	-1.63559084449305	5.86418289246587	33.1979231263959	1.03427032608517e-07	0.00010609179968396	Not Sig
KCNC4	-2.27253992180007	2.90223409423985	32.8754730061471	1.17199985523311e-07	0.000113540741530861	Down
ZDHHC9	-1.04218772936599	6.28830236246473	32.214763113994	1.50584925005734e-07	0.000138205259065789	Not Sig
BIRC3	-2.14327831879398	6.11548110575357	31.5238074747885	1.96470939141634e-07	0.000167677296447925	Down
RBBP8NL	1.51013877648936	4.11976835677044	31.4459117432847	2.02494912525418e-07	0.000167677296447925	Not Sig
AHCYL1	-1.0748077929338	7.62432696318821	31.319909798485	2.12567711992418e-07	0.000167677296447925	Not Sig
GLYCTK	1.1089148883708	3.31556252213588	31.2182861320924	2.21159411532416e-07	0.000167677296447925	Not Sig
FZD10-AS1	1.72141921327101	4.14308180165661	30.8353206813627	2.56532596736839e-07	0.000182018370836585	Not Sig
LYPD6B	1.44328550082567	6.11665329261531	30.790925310278	2.60950755299612e-07	0.000182018370836585	Not Sig
MEOX1	3.53050636562348	2.25075313323291	30.4746176729482	2.74044334630692e-07	0.000183799427203462	Up
PHACTR3	-6.44847242084152	-0.683846598073261	28.6253814603432	3.3408931087347e-07	0.00021577220011154	Down
SST	-2.81971712432361	4.12514590816794	29.4451161142851	3.55804443793862e-07	0.000221589924674192	Down
TRHDE-AS1	2.2432364089987	0.502950769112243	28.4736896185477	4.51715635192968e-07	0.000271621284361896	Up
ID2	1.54344551175076	5.83955389896415	28.8699471618727	5.54036528571527e-07	0.000322042966174343	Not Sig
CILP2	-2.37066214536506	2.67603124279699	28.6108167216336	6.1467043220917e-07	0.000345762032156887	Down
RETREG1	-2.74506399857905	1.29415121710682	28.5029712965612	6.46215427930417e-07	0.000352147019757832	Down
LRP8	-2.06538710945616	4.20618687559976	28.137605309538	7.40922755088171e-07	0.000379792920817137	Down
IGSF9	1.7686957086929	4.7020085819444	28.092177484	7.54380606843277e-07	0.000379792920817137	Not Sig
FGF19	-4.70583859187036	-0.867778651641859	27.3580194315756	7.62286513854788e-07	0.000379792920817137	Down
SLC6A20	3.59464195102708	6.17766496959113	27.5728472896019	9.28124998299975e-07	0.000442344695225187	Up
LINC02672	2.31378568651874	4.32425095681498	27.5452599175215	9.38568283251056e-07	0.000442344695225187	Up
KLF6	-1.50016500052546	6.28769908396861	27.4594967349143	9.71126994547196e-07	0.000445645066603	Not Sig
FYN	-1.14341378325219	5.65158114172097	27.2960229258597	1.03689022226389e-06	0.00046362286399584	Not Sig
DYNLT3	-1.27825051828056	4.40332336332544	27.0842018988651	1.12901603009586e-06	0.000492194538320292	Not Sig
CCN5	-3.33431582415855	1.92134871880442	26.3370123027531	1.24848848612596e-06	0.000531003468806449	Down
RASL10B	2.52059637495635	-0.121730729478356	26.1226310079973	1.34078586374932e-06	0.000556681521239537	Up
ATP2A2	-0.898471843229002	8.00714342154947	26.5359191779464	1.40805013725242e-06	0.000571013448683902	Not Sig
AMDHD2	1.07236716357329	3.93682208606939	25.8443086282997	1.86386089032886e-06	0.000738681959217152	Not Sig
