genes	logFC	logCPM	F	PValue	FDR	sig
CSF2	3.14213052522283	-1.19085988815029	118.282430212825	3.49667394230334e-20	6.09750002058856e-16	Up
DMBT1	5.18276730339485	0.228203143817575	83.8356140562208	1.50494719285455e-15	1.31216345744988e-11	Up
ADGRF5	4.41107550288012	-0.461276242173477	76.1226586721929	4.64213648508151e-14	2.69831920089505e-10	Up
FBN2	-2.00790793064488	5.97151789182516	75.6778586997217	1.02212822089542e-13	4.4559679789936e-10	Down
DUOXA2	5.34001877390486	2.99177675503806	67.5764028281538	8.29888504550786e-13	2.89431914847132e-09	Up
CALCA	-3.4773859317819	2.2525394449656	53.3097360181051	2.51196177603665e-11	7.30059824175452e-08	Down
DUOX2	4.01633790130372	3.55692865391275	55.1639442615939	4.013814475737e-11	9.99898526112882e-08	Up
EMX2OS	-1.01120855419863	6.06407685950851	52.6243840084511	1.10333545008919e-10	2.40499544733192e-07	Not Sig
PAEP	4.08164248540821	5.89071209667288	50.4767216450374	1.85651554569226e-10	3.59710200953129e-07	Up
IRAK3	2.36376168325245	0.957081833421447	50.3174841651651	2.26322850564797e-10	3.80146350658771e-07	Up
SAA2	3.03540578752854	5.48467863737804	50.2840311401949	2.39798707262672e-10	3.80146350658771e-07	Up
ZNF608	-1.07895774006674	5.49671704305778	49.8994033726708	2.71384430018732e-10	3.94366807555553e-07	Not Sig
SHISA3	-4.29396224536453	2.7249532042802	44.7323089717596	7.88022658601918e-10	1.0570414708231e-06	Down
SAA2-SAA4	2.9286701201023	2.38814066268006	45.3159423305258	1.13326788648432e-09	1.4115661003224e-06	Up
GATA2	3.34870610649173	0.737704565052144	42.650250820494	2.02835307035017e-09	2.35802805605109e-06	Up
RP11-25C13.1	3.81536246538498	-1.70553280101739	40.041479317098	2.7385485312128e-09	2.98467558045555e-06	Up
TNFRSF18	1.75812933662063	2.32050082838455	42.7790231286176	3.01759489306565e-09	3.09534233795758e-06	Not Sig
GATA2-AS1	2.02031662307176	-0.658747056017302	40.0297978401534	3.51600910735616e-09	3.40623148967093e-06	Up
ACSM3	-1.0172783545408	3.91436865260403	42.2227414448362	3.78532788812469e-09	3.47413409016412e-06	Not Sig
TCF7L1	-1.0870686102226	5.45341232360793	42.068470829771	3.99635652624252e-09	3.48442325523085e-06	Not Sig
A1BG-AS1	2.43077711607512	1.81589634366796	40.7362460533321	5.18489712086591e-09	4.30543980922189e-06	Up
THBS4	-1.75430030827108	3.10528218784434	41.1151419424429	5.61841480044144e-09	4.45335987682263e-06	Not Sig
CLCA2	-2.49563080397347	-1.18277856656177	38.0294224061992	6.80287523909746e-09	5.15776253997311e-06	Down
VSTM2L	2.6328637593289	0.413968338691333	39.0226622854379	7.51775755513313e-09	5.33376128061719e-06	Up
NTRK2	2.15080591537429	2.53532480435356	40.2546216712846	7.64675031628798e-09	5.33376128061719e-06	Up
DLX6	-0.94594277566022	3.90417724109255	39.6031578595822	9.64583977300976e-09	6.46939053699016e-06	Not Sig
KRT4	-4.23335868084651	2.35859475344239	37.4013074817874	1.22665671685296e-08	7.7386875280774e-06	Down
DIRAS3	2.39644163271071	-0.646920569746403	37.9558176084726	1.24259233161009e-08	7.7386875280774e-06	Up
SLC38A5	2.0883564068043	-0.106850919777807	36.5980123606799	1.80212055154342e-08	1.08363373026945e-05	Up
SAA1	2.95119764512718	5.97721079100499	37.3540292920354	2.1906970226897e-08	1.27337915605543e-05	Up
DSC3	-1.60464265163747	0.340264035293109	35.1560329128487	3.11167898923951e-08	1.71520285533678e-05	Not Sig
CA2	1.46831864151331	1.13070393611243	36.3143478872816	3.14752215682859e-08	1.71520285533678e-05	Not Sig
ABCA12	1.66635507354067	2.90098400702324	36.1803500605317	3.39392687299405e-08	1.79343323670516e-05	Not Sig
LRP4	-1.58296874138648	4.98562737357521	35.6799593772126	4.06341565789825e-08	2.08405418360087e-05	Not Sig
DYNC1I1	-1.29718641138996	0.752685646286884	35.4989872756375	4.44603165165625e-08	2.21513999833091e-05	Not Sig
LAPTM5	3.0951024914583	3.44509382055103	35.2393785358567	4.80942211003354e-08	2.3296306320768e-05	Up
UNC93A	2.8378114187948	3.6049872389283	34.75896553204	5.76927069928627e-08	2.71904168795011e-05	Up
ABLIM1	-1.05773501071567	7.77462714874084	34.3956149864861	6.57254512179781e-08	3.01610636405027e-05	Not Sig
IL19	3.11313433025955	2.64074896441919	33.7769475587828	6.82018702990526e-08	3.04949798532021e-05	Up
IL10	2.52175924974276	-0.692088376440541	32.3946515225676	8.7450907935551e-08	3.81242233145035e-05	Up
CERS4	-0.874182094998387	5.39131449047277	33.4348723568987	9.45206162578054e-08	3.97344012142831e-05	Not Sig
STX11	1.82869226013186	1.21002516974128	33.3598271225632	9.5701620082572e-08	3.97344012142831e-05	Not Sig
SOBP	-1.25838194376039	2.05424658783845	32.2464864822238	1.49707165103785e-07	6.07114777925535e-05	Not Sig
CYP24A1	3.45820555547177	0.93236580334728	31.8719282749535	1.53225572548751e-07	6.0726080320571e-05	Up
VNN1	2.19663230764071	3.80353519029463	31.6986118814494	1.66378807109434e-07	6.44736364083179e-05	Up
PAX2	-1.6804912735844	6.20252950758017	31.8880369332967	1.70794473065504e-07	6.47459569851362e-05	Not Sig
MIR1915HG	1.36611978916536	0.201950014941386	31.729853846019	1.79048535639236e-07	6.64308162654681e-05	Not Sig
HP	3.58961348485363	2.2573264297465	31.5183568940263	1.888505790885e-07	6.86078416280265e-05	Up
C6orf15	1.61728340256595	1.60196035129494	30.9526196507763	2.06570639740336e-07	7.35138533835096e-05	Not Sig
CDH6	-1.56450235310732	6.11490656449344	31.2408349727708	2.19178242605221e-07	7.64406038909969e-05	Not Sig
EVA1C	1.22826356146664	3.80548363410348	31.1468891197605	2.27409855415225e-07	7.70699274136528e-05	Not Sig
CYP1A2	-3.32240802191291	-1.15108416923259	30.6644445220168	2.29822010867642e-07	7.70699274136528e-05	Down
NMUR2	2.06232999387583	0.813948838243301	30.47328189946	2.36293792152005e-07	7.77451159914465e-05	Up
SEMA4G	-1.18015422001968	4.46401902950096	30.7190823846913	2.68388178004738e-07	8.66695008897521e-05	Not Sig
NID1	-1.8361143117801	1.19277701159886	30.4285348967083	2.7946223545755e-07	8.76536520548204e-05	Not Sig
PSTPIP2	1.23983586893599	3.52081001239052	30.5967056483698	2.81488961754212e-07	8.76536520548204e-05	Not Sig
SCARA3	-1.62862968273012	5.74253338596821	30.5351379735529	2.88265800397007e-07	8.81891057425089e-05	Not Sig
HNRNPA1P21	1.80041763769938	-1.59917702990859	28.6590832264814	3.19501039432535e-07	9.40737294179375e-05	Not Sig
PTPRS	-0.918409113629337	5.85772666872506	30.2502430178675	3.22125866509926e-07	9.40737294179375e-05	Not Sig
PECAM1	1.82916743951073	2.37151617936678	30.2444649424475	3.23685271537805e-07	9.40737294179375e-05	Not Sig
CCL28	1.03652583014542	4.95972484221338	30.1267778922052	3.38050335089883e-07	9.66380613655308e-05	Not Sig
SLC28A2	2.58219468714809	0.323133580621393	29.0189485776258	3.63073531007296e-07	0.000102117358608149	Up
ENPP3	3.57178823619444	2.18469585417654	29.3232037847406	4.54602318821651e-07	0.000125831035485904	Up
APOL3	1.8958305489301	0.0663247923360561	29.1723338840146	4.80320932105553e-07	0.000130872443969635	Not Sig
RP11-817J15.2	1.44060090805731	-1.10983596889614	27.619339994514	4.92491396105918e-07	0.000132124076389154	Not Sig
FAM171A2	-1.12033696612376	4.17616730173909	29.1024882645558	5.05498571408577e-07	0.000133558849821557	Not Sig
DEFB4A	2.25453583880327	1.0461716285013	28.1546889630116	5.52048256388403e-07	0.00014368085813285	Up
NID2	2.57141639470825	2.2520434333564	28.7722192023644	5.79774890927031e-07	0.000148678155117435	Up
NGFR	-2.75967246879989	0.964986490101629	27.8663960830631	5.93161860473093e-07	0.000149906616274345	Down
PCDHB13	-1.40924533581692	0.64363985330344	28.4954131122233	6.28353537871326e-07	0.000154394860682678	Not Sig
CCDC190	2.46098441459314	0.356686452377378	28.1501606315522	6.32484587192556e-07	0.000154394860682678	Up
C15orf48	2.43090202150549	3.40775956351829	28.4808518471274	6.37483081153391e-07	0.000154394860682678	Up
TMEM98	-0.892909233236754	4.54310094364604	28.3251349161567	6.87620494638422e-07	0.000164256523089107	Not Sig
FBLN5	1.21323729326182	3.37686438137503	27.9366376493852	8.02770347435361e-07	0.000185758420053891	Not Sig
TIMP3	-1.95538507256189	1.76161745879897	26.8372915816167	8.06682905243828e-07	0.000185758420053891	Not Sig
WNK2	-0.686269360191187	6.94063634241412	27.9146932342164	8.09590545022121e-07	0.000185758420053891	Not Sig
SLPI	1.32099961424524	9.01260595859648	27.7992123482611	8.47770021561072e-07	0.000191992384882883	Not Sig
CTD-2540L5.6	1.70917335255638	-0.490437772782468	27.3284056176066	8.77054126520326e-07	0.00019607781869566	Not Sig
LINC02577	1.92320634057697	2.23674296256184	27.3485428091236	1.01952930139714e-06	0.000225044961490676	Not Sig
SYTL2	1.57523803554597	1.92550331157405	27.2985725202459	1.03945756552202e-06	0.000226575762844662	Not Sig
DLX6-AS1	-1.05660908694632	2.55834102910121	27.1991586276919	1.07905396738709e-06	0.000232303001028347	Not Sig
MICB	1.12248481792559	2.60219901942288	27.1151078637522	1.1206209212656e-06	0.000238309605183287	Not Sig
PGM5	-1.6298948833095	4.34611938356914	27.0331099283957	1.15258348643785e-06	0.000242153624536183	Not Sig
EFNB3	-1.7613763450835	2.22127197720074	26.8869203763048	1.22831965778462e-06	0.000254993311814861	Not Sig
NFASC	3.05998784257814	0.729910229825136	26.3100926869941	1.25889624209123e-06	0.000258266266701023	Up
MSI1	-0.959194297889879	3.23360258449833	26.7169847269454	1.30930002278044e-06	0.000265483416247038	Not Sig
GNG11	1.75192511402513	3.32840334394567	26.4217717393731	1.47608993010596e-06	0.000295862714956181	Not Sig
DDO	1.87454249774848	1.16313343411537	26.3503113003462	1.49751753067663e-06	0.000296736962237197	Not Sig
MOGAT2	1.57599936914075	-1.99428128393712	25.3408618538089	1.51448501199166e-06	0.000296736962237197	Not Sig
LCAL1	1.58454845232146	-0.696588719052996	25.098189251473	1.56678950922648e-06	0.000303574171798792	Not Sig
BCAM	-1.04264606482275	9.08718400924137	26.2064548380675	1.6088434369397e-06	0.000308296833553347	Not Sig
KRT5	-2.15757737158761	4.95726829800257	26.1771598924866	1.63454836291011e-06	0.000309817982091592	Down
ATP2B2	2.58726351727881	0.927727272518017	25.444039706037	1.69745538265278e-06	0.000318282010351603	Up
PLEKHS1	2.28894853502362	6.49906003062499	25.9422037341086	1.79098795764072e-06	0.000332219422688336	Up
PLAC8	2.72592046366957	3.4340879679508	25.9128107476377	1.80988904435095e-06	0.000332219422688336	Up
TSPAN8	2.14125555016402	-0.519009471255356	25.8436253835222	1.8391933528839e-06	0.000334081809245723	Up
ETNPPL	1.4338031473517	-0.939368403418001	25.0448642932705	1.90818274031648e-06	0.000341018180590988	Not Sig
KATNB1	0.65343506917837	5.39925414373638	25.7755720579363	1.91649166750297e-06	0.000341018180590988	Not Sig
IL3RA	1.81238950030004	0.811590514927685	25.7346377386216	1.95156657161504e-06	0.000343751695715385	Not Sig
ESRRB	-2.29486842983336	3.20310956027272	25.3800466572264	2.25443533660925e-06	0.000393128433997921	Down
CACNA1E	2.08368096969179	-1.44936134388669	24.1255136845627	2.48639774867272e-06	0.000429285187538167	Up
XKRX	1.59796740889612	0.605015987816257	24.8990812665746	2.77424623688386e-06	0.000467045925049758	Not Sig
STAT4	1.90652688439365	-0.0216440654733769	24.8851681722724	2.77573278949918e-06	0.000467045925049758	Not Sig
APH1B	0.740227308993413	3.54677634996895	24.8611440674541	2.78545568328792e-06	0.000467045925049758	Not Sig
RP11-115D10.1	1.44028833293598	1.11073756431773	24.7926686468568	2.86641652462959e-06	0.000471985367145878	Not Sig
RP4-694A7.2	1.51396200863433	0.567029016594666	24.6389622340746	2.86904742043027e-06	0.000471985367145878	Not Sig
RP11-469H8.6	-1.58942450154737	2.53459833041907	24.6984251715868	2.98875457863643e-06	0.000487083199460394	Not Sig
AQP5	-1.9166017088551	6.52592440524808	24.4955581048279	3.2369339555881e-06	0.000522644947384679	Not Sig
SPARCL1	3.56110702387204	-1.41460110603178	23.4914168269771	3.41318910154471e-06	0.000546047628924189	Up
STOM	1.39856903728355	5.11047204007165	24.1573517266594	3.72172860086799e-06	0.000589995484926691	Not Sig
NAT8L	-1.09233772846728	1.97269382074121	24.0661611028443	3.87401503068737e-06	0.000608604271217355	Not Sig
FREM1	-1.48499356473483	3.19978703833671	24.014160953081	3.95009261665264e-06	0.000615015312939186	Not Sig
COL26A1	-1.73508759733934	0.811815704235178	23.8605500274757	4.10761932346384e-06	0.000633881997898782	Not Sig
PRKCA	-0.900464024711171	4.57627903599973	23.8209492640012	4.2781795593924e-06	0.00065441136102355	Not Sig
NR2F1-AS1	-1.07214397054274	2.52658007923679	23.7674738658276	4.37741003427376e-06	0.000663767618936225	Not Sig
BRD3	-0.44309938021372	5.19860557072241	23.5709585659871	4.74580539045976e-06	0.000712155384670622	Not Sig
FUCA1	0.772735031226977	6.69877841788041	23.5545802541035	4.77819589439516e-06	0.000712155384670622	Not Sig
C4BPA	-2.12045979858279	3.86550760392703	23.3741308167283	4.9126412143412e-06	0.000725988453353235	Down
SSTR1	-2.30305435917238	2.01503452991952	23.1838911496229	4.97916834322924e-06	0.000729636450161608	Down
PTK2B	0.729946118510172	3.9889396317307	23.3082079211351	5.29482920456733e-06	0.000766630985302107	Not Sig
ACVRL1	1.92259125818805	0.438762544061015	23.1182726806865	5.31955208289683e-06	0.000766630985302107	Not Sig
EBF3	-1.23587644863747	2.1574420415229	22.8652907200148	5.71023010590142e-06	0.000816188463825483	Not Sig
FEZ1	1.54054042607396	1.3391561798459	23.1066145304086	5.78289821420397e-06	0.000819855114303161	Not Sig
TREM1	2.74979000220549	3.44214514090902	22.9617733078402	5.84506884995675e-06	0.000821986375851175	Up
ELL3	1.47535518580097	3.08086130780159	23.042493136759	5.91767691929943e-06	0.000825539600949947	Not Sig
PCDHB14	-1.24207309756159	0.978143876227406	22.9201760050118	6.27264193551677e-06	0.000868113730726519	Not Sig
VAV3	-0.855723791728468	6.0847658946487	22.8432715048439	6.42956397952453e-06	0.000882824698227942	Not Sig
STK32B	-1.6865283949254	2.85499529305751	22.8123493970424	6.52141415168896e-06	0.000885759514633289	Not Sig
H2BC19P	0.891841876569859	3.82055312021622	22.7982976328456	6.55252766301722e-06	0.000885759514633289	Not Sig
CRMP1	-1.82229225441722	-0.981998252515376	21.8669363585319	6.72660305166159e-06	0.000901821700444126	Not Sig
DSG3	-2.32844996487496	-1.91746860240598	22.1024247518432	6.77478166981193e-06	0.000901821700444126	Down
SLC16A6	1.53235640227203	0.634301756772253	22.520401378537	7.45145274636269e-06	0.000984382068114186	Not Sig
SELL	1.62185369474552	-0.907246670837954	21.585492860874	7.74241960882365e-06	0.00101513017397494	Not Sig
GFRA1	-2.06987651523266	4.04421093917738	22.29700859846	8.11302544735254e-06	0.00105578311754428	Down
RP11-47I22.3	1.54022822895444	-0.773154475368251	22.2398901359407	8.45214242489742e-06	0.00109176636744712	Not Sig
BGN	-3.14541592875137	0.384771330404717	21.6806191875178	8.65008045695087e-06	0.00110911840447286	Down
TLCD1	1.04400488084333	3.87405586446307	22.072021250381	8.89327691003753e-06	0.0011243954522919	Not Sig
CASC8	1.11321769211055	1.30881502451981	22.0774108479078	8.89818628376429e-06	0.0011243954522919	Not Sig
AC110619.2	-1.53186713347802	2.54641197549571	21.9400088296024	9.42077430618259e-06	0.00118186663562023	Not Sig
SCIN	1.02976271217389	2.65130461079752	21.8085454527009	9.94485265839959e-06	0.00123870243326551	Not Sig
BCL2L15	1.10930112896114	4.3344748884146	21.6186203064288	1.07773887723659e-05	0.00133096067261955	Not Sig
BCAS2P2	3.133718685458	-1.81467022952497	20.8339689934344	1.08381933428132e-05	0.00133096067261955	Up
IL12A	1.94270298620293	-0.326736883443814	21.2946824328039	1.19570443216885e-05	0.0014494748487251	Not Sig
NAV3	1.44058873792882	-1.67837990063076	20.485225715917	1.19950356179652e-05	0.0014494748487251	Not Sig
TCF4	-0.897509209170188	3.92914208780576	21.3545053031471	1.20526352256646e-05	0.0014494748487251	Not Sig
TRIM31	1.85482021294939	1.45614756571097	21.3309894173338	1.22275005448946e-05	0.00146043256508132	Not Sig
ARNT2	-0.629937343064978	5.93674840131601	21.1613757724232	1.30837796579098e-05	0.0015375790904431	Not Sig
ATP13A4	-1.75190588685763	1.6319604096823	21.1602194308104	1.31370833186119e-05	0.0015375790904431	Not Sig
IL33	2.35392851457658	0.234344388902082	20.7689366374465	1.31379335059079e-05	0.0015375790904431	Up
SRD5A3	0.936018971904709	4.82066607632925	21.0706219346482	1.36004446908547e-05	0.00158109703012749	Not Sig
TLN2	-0.688207385206796	4.17392374192932	21.0238804260989	1.3874960630329e-05	0.00160232823491177	Not Sig
PTK7	-0.456301434950004	7.19979498313461	20.8957469260576	1.46539901367023e-05	0.0016811597368672	Not Sig
KCNG1	1.72456139780536	2.95254868965172	20.8664732011394	1.48541336447048e-05	0.00169298289213308	Not Sig
PCDHB16	-1.96431480017219	-1.24570087717624	20.1547663202098	1.55202774766775e-05	0.00175741947167729	Not Sig
ASIC2	-1.4858066403839	3.34743957153941	20.5422368686593	1.70878744733988e-05	0.00192244100043309	Not Sig
CAPN5	-1.03738656056026	5.05271644160207	20.4350006149386	1.78516659696712e-05	0.00198663298792065	Not Sig
TRO	-1.79260721836342	2.32232387337135	19.996237245042	1.78863045706814e-05	0.00198663298792065	Not Sig
SOX6	-0.892995168962733	3.43144703636087	20.3788461636889	1.82898118560669e-05	0.00201859328573477	Not Sig
LUCAT1	1.59131406607716	2.83694908939994	20.2701854194134	1.8803382697318e-05	0.00205458283611546	Not Sig
PABPC4L	-1.22749742113612	3.03014339031792	20.3092327775125	1.8851545692079e-05	0.00205458283611546	Not Sig
FER1L6	1.60832118598377	-0.557668193952458	20.0140800813058	1.94127132116503e-05	0.0021026018197811	Not Sig
FKBP10	-1.57537870660448	3.57605484671916	20.2168172707117	1.96579662268819e-05	0.0021034547970082	Not Sig
NPNT	-1.24095154990692	3.92666927230826	20.2107966523058	1.96618380497956e-05	0.0021034547970082	Not Sig
SLC35G2	1.36084665345884	0.059936367285077	20.0413656996505	1.98988217853838e-05	0.00211582716032636	Not Sig
TP63	-1.52843413223869	1.10675702862864	19.8946364707133	2.02548194354141e-05	0.0021406275231197	Not Sig
EMX2	-0.572655136885621	6.67703518096372	20.120719633284	2.04346483414517e-05	0.00214662287818214	Not Sig
SOD3	-1.16959068584927	6.32285987862876	20.0513470274153	2.10552384257509e-05	0.00219857034531883	Not Sig
COX7A1	1.57307823468817	0.616780941098183	20.038177343442	2.13614334066733e-05	0.00221726592705696	Not Sig
PCDHB11	-1.57966887591654	-0.548797039065915	19.4472562295912	2.20298704062905e-05	0.0022673141808648	Not Sig
SVOPL	1.34490738246819	0.427189499820069	19.9571706310013	2.21036478235472e-05	0.0022673141808648	Not Sig
MISP3	0.891208607147115	3.57741167702626	19.856131818445	2.29094547686778e-05	0.00233622849272634	Not Sig
DNMT3A	-0.467054817909764	5.49208245973563	19.8293852719881	2.31719420351184e-05	0.00234925770469997	Not Sig
SERPINB9P1	1.14969822783399	1.42489554055677	19.7948110543823	2.36272126891984e-05	0.0023815684096777	Not Sig
P4HTM	0.583468573855041	6.90462488044356	19.6716492183211	2.48079559159078e-05	0.00248570704822365	Not Sig
MEP1A	2.21185912622627	-1.22519583364214	19.245834875938	2.49454486431437e-05	0.00248570704822365	Up
GPR161	-0.912991953377563	2.80761323365989	19.60742251274	2.55277968727892e-05	0.00252928251061192	Not Sig
TEX101	2.35031761551715	-1.62793959098939	19.0987939710938	2.58679961473878e-05	0.00254850913456581	Up
ALG1L	2.04001090398134	0.887774387384039	19.5094787125191	2.65947077305538e-05	0.0026053849067719	Up
TRPV4	1.65906690938835	3.14846909388609	19.4496600613496	2.73300335926066e-05	0.00266246438987639	Not Sig
CTC-458G6.4	0.964224371609665	0.157337611945019	19.3190776796023	2.83893529193622e-05	0.00275029742337688	Not Sig
SORCS2	-0.997500797066359	3.70343922183073	19.3463181962761	2.85743549807668e-05	0.00275292597875476	Not Sig
LYZ	1.84820840987116	1.1910645839152	19.3356499705117	2.87802337905998e-05	0.00275612860417921	Not Sig
PSMB9	1.49838351178252	4.01045597316989	19.3092559471399	2.90382305402373e-05	0.00275612860417921	Not Sig
LINC01503	1.08883151168165	3.02092270122324	19.3061615791746	2.90817561170418e-05	0.00275612860417921	Not Sig
ITPR2	-0.786416601717958	5.64415592803651	19.2187553940553	3.01960743677977e-05	0.00284626564770625	Not Sig
LGALS1	2.01300655380511	6.17284266651013	19.195747768952	3.05005319800158e-05	0.00285950686380385	Up
CHST9	1.27703882995577	0.998444863316027	19.1872897549829	3.07894068836775e-05	0.00287115335421159	Not Sig
C16orf54	2.33546921122747	0.0473602347776768	18.7758208164396	3.13640904351147e-05	0.00290918621812516	Up
KLRK1-AS1	1.15433035875228	1.22027053822678	19.1199698825028	3.16572690936743e-05	0.00292084369553171	Not Sig
HCP5	1.33285563166559	3.63584710331957	19.0954846223074	3.18702901923106e-05	0.00292502168617638	Not Sig
MOXD1	-2.23692798043666	1.0452501441602	18.7726055696409	3.24709169577706e-05	0.00296454371680421	Down
SAA4	2.84416340773228	1.22591270601483	18.9052247942025	3.30054315589686e-05	0.00299764956002758	Up
CGNL1	-1.12713614262674	4.82516402966009	19.0024721485789	3.31810109662925e-05	0.002997981705856	Not Sig
RAB11FIP2	-0.775104385996675	4.23237609946702	18.9594671118382	3.38092272193938e-05	0.00303499427141163	Not Sig
NELL2	0.999429723064078	5.56928571648235	18.9506075231194	3.39387477305464e-05	0.00303499427141163	Not Sig
FLRT2	-2.29801543021591	-1.07536868664535	18.4994589077076	3.4372097987095e-05	0.00305521152498496	Down
LINC02363	1.22032356332919	0.355154976695683	18.9285304495247	3.45415818495991e-05	0.00305521152498496	Not Sig
ZNF496	-0.538647647590862	5.31407747711005	18.9003632764191	3.46904393822126e-05	0.00305521152498496	Not Sig
SMIM3	-1.19026784398533	2.12515908263968	18.8831423369979	3.50134084556825e-05	0.00306815988266427	Not Sig
RP11-760H22.2	-1.12739128939405	1.48753840007969	18.8313765868268	3.5827779056404e-05	0.00312382405592787	Not Sig
SLC40A1	-1.48170451264695	6.71950348118789	18.7725673615289	3.6682329854582e-05	0.00316089151816249	Not Sig
ALDH7A1	-0.445334684952691	6.88499750098232	18.7672488959275	3.6767536197503e-05	0.00316089151816249	Not Sig
PLXNA4	-2.87777737537185	2.97330306535781	18.5192965086459	3.67967070872225e-05	0.00316089151816249	Down
SP140	2.34725913676691	-0.919701213172773	18.4872471630331	3.84482582609952e-05	0.0032865721938982	Up
PREX2	-0.846317923861642	5.52635679588037	18.6193890462684	3.92252063425732e-05	0.00333662999122825	Not Sig
HLA-J	1.32523573947652	3.4682457777856	18.6061074336362	3.94951426414018e-05	0.00334328299699401	Not Sig
ADTRP	2.89149856355765	-0.461678094248835	18.0525382329	4.07357355777806e-05	0.00342875092419876	Up
PRKACB	-0.882253538854339	3.14479782464763	18.5246050034001	4.08980497897317e-05	0.00342875092419876	Not Sig
LRRN1	-1.37511246961329	3.20307997779696	18.501036500992	4.13705683468998e-05	0.00345177019537435	Not Sig
LRRTM1	-1.36300026066622	3.35430335493798	18.4499063197631	4.22907813890398e-05	0.00351174593267655	Not Sig
GRAMD4	-0.449022945782027	5.54924534790428	18.402069733781	4.31464699361503e-05	0.00356582058173739	Not Sig
ATP9A	-0.716544141318339	6.53880993858649	18.3821456109176	4.35254678179893e-05	0.00358017503684008	Not Sig
SERPINA3	2.21872317095134	4.52899491335787	18.3578321512672	4.38779191197482e-05	0.00358121998583772	Up
GNB4	1.6907012364075	0.836837885007012	18.3749228589211	4.39489091047867e-05	0.00358121998583772	Not Sig
LTBP2	1.10017476721921	1.39707777891028	18.3024544645851	4.52165089217189e-05	0.00366737433756713	Not Sig
FBXO34	-0.393222189521257	4.95988488659672	18.2394134048972	4.63433292831033e-05	0.00374136562980905	Not Sig
ENTPD1	1.18018266938261	1.08702705569194	18.1920337703156	4.74848916961641e-05	0.00381585963777746	Not Sig
DHRS9	1.85873067435252	3.54892855096843	18.1429223510324	4.81412010190434e-05	0.0038508544191288	Not Sig
SEMA6A	-0.857536507596962	5.32078696100173	18.1132277829094	4.89901194057109e-05	0.00386291670580547	Not Sig
EMID1	-1.30095159736959	4.21716361310227	18.1133891437017	4.89940300970062e-05	0.00386291670580547	Not Sig
LINC00649	1.50716521809961	-0.404386355966913	18.0669934379596	4.93551962445329e-05	0.00386291670580547	Not Sig
IGSF9	-0.995805113506967	4.7020085819444	18.0951764636091	4.93826051825686e-05	0.00386291670580547	Not Sig
HRG	1.65283444203489	-1.19126605541714	17.6008676618955	4.93996115033043e-05	0.00386291670580547	Not Sig
SPRY1	-0.588433956309176	5.99092066202109	18.0719642794071	4.98879578915291e-05	0.00388368843621645	Not Sig
CAPN13	-1.65572888098083	5.25203577763733	18.0154574802796	5.11497314052591e-05	0.00396421784997737	Not Sig
SERPINB2	-1.40052990187764	-0.669100797341201	17.5929033791647	5.19054479384543e-05	0.00400498761571135	Not Sig
