genes	logFC	logCPM	F	PValue	FDR	sig
GATA2-AS1	2.92050156730206	-0.658747056017302	88.0799282597435	2.24471930474916e-16	3.32858593288342e-12	Up
FBN2	-2.31373318357035	5.97151789182516	96.7889099863069	3.81762350370848e-16	3.32858593288342e-12	Down
SOBP	-2.10962152831858	2.05424658783845	74.8421833480535	1.3221828716341e-13	7.68540830518514e-10	Down
OLFM4	8.55262781812258	1.11462235299525	76.6416531858965	3.24618193633504e-13	1.41517301514526e-09	Up
CYP1A1	-6.03353415857728	0.689222904729101	64.9458930054036	7.83069405261346e-13	2.73103285778947e-09	Down
CALCA	-3.67612891952538	2.2525394449656	60.0699042976456	2.28922449612187e-12	6.65324946056219e-09	Down
GATA2	2.86253446172216	0.737704565052144	59.0371383966741	6.55681474184678e-12	1.63339622097606e-08	Up
THBS4	-2.19372506133453	3.10528218784434	60.2416708050922	9.7864884168038e-12	2.01981406722352e-08	Down
TIAM1	-1.04218172666046	5.02396400211399	60.0267577370005	1.04245478868056e-11	2.01981406722352e-08	Not Sig
GFRA1	-3.42073659140713	4.04421093917738	58.3076057961394	1.80923030288575e-11	2.77299122952632e-08	Down
LRP4	-2.05649474676752	4.98562737357521	58.1521717176184	1.87393146433579e-11	2.77299122952632e-08	Down
PAX2	-2.32555426532179	6.20252950758017	58.0035716944558	1.96470663462388e-11	2.77299122952632e-08	Down
CPXM2	-2.60411128669896	5.50852360774781	57.8414371220605	2.06726035003109e-11	2.77299122952632e-08	Down
DLX6	-1.14188137666654	3.90417724109255	57.0520135981258	2.65325055829775e-11	3.30481308825687e-08	Not Sig
PRKCA	-1.36572319843455	4.57627903599973	53.0785329623901	9.51547771390433e-11	1.10620600250042e-07	Not Sig
RP11-469H8.6	-2.44851172860481	2.53459833041907	51.1775622023282	1.7964319805103e-10	1.84271166832612e-07	Down
PGM5	-2.29769561375372	4.34611938356914	51.0781785523334	1.83557817583256e-10	1.84271166832612e-07	Down
NR2F1-AS1	-1.61533025319881	2.52658007923679	50.8707944475224	1.97036812107814e-10	1.84271166832612e-07	Not Sig
NPNT	-2.00007646683717	3.92666927230826	50.7719090133843	2.03247333212671e-10	1.84271166832612e-07	Down
SSTR1	-6.11843639755143	2.01503452991952	49.5115899580628	2.1134438219132e-10	1.84271166832612e-07	Down
LRRN1	-2.26699770567454	3.20307997779696	49.5545783735814	3.06555296814765e-10	2.46668829429451e-07	Down
PLXNA4	-3.95728555521408	2.97330306535781	47.9879775480487	3.11200495896773e-10	2.46668829429451e-07	Down
RGMA	-1.76563356058648	3.75731469289056	48.0349536935154	5.07912217363696e-10	3.85085793321223e-07	Not Sig
COL26A1	-2.17122443094621	0.811815704235178	47.5678644821336	5.53158187468567e-10	4.01915519711536e-07	Down
SOX12	-1.07763908558327	6.22701384628364	47.5318795420692	6.01874247763214e-10	4.19819325299797e-07	Not Sig
S100A8	-2.86188128913763	-1.33198899562913	45.0823946261073	6.5544450460447e-10	4.39601587357414e-07	Down
CYP1A2	-5.46638518113782	-1.15108416923259	45.9922352509769	7.29326556090558e-10	4.71036906855821e-07	Down
BMF	-2.6825871095184	4.82137637849242	46.645059466634	8.14549057062347e-10	5.04715006175397e-07	Down
SHISA3	-3.91167107764476	2.7249532042802	44.5221729685679	8.51879306173022e-10	5.04715006175397e-07	Down
GPR161	-1.43701712495868	2.80761323365989	46.4655747669553	8.68301994796532e-10	5.04715006175397e-07	Not Sig
TNFRSF18	1.90717851741153	2.32050082838455	46.1786480184017	9.23121065271226e-10	5.19270488264505e-07	Not Sig
RASSF10	-1.60454595657676	4.2703476073036	45.0489358389233	1.40952685102139e-09	7.68104038378466e-07	Not Sig
CAPN5	-1.56041043439419	5.05271644160207	44.3057371628311	1.82340951141253e-09	9.63533789697324e-07	Not Sig
CLCA2	-2.91321181372239	-1.18277856656177	40.842317308163	2.20239584853547e-09	1.12956996490475e-06	Down
IGSF9	-1.58266962866859	4.7020085819444	43.4991315880181	2.41608341634222e-09	1.20376178897645e-06	Not Sig
DUOXA2	4.04980243414741	2.99177675503806	42.7653653822992	2.76180868369306e-09	1.33778943961777e-06	Up
ATP2B2	2.6153386002381	0.927727272518017	41.0911744578252	3.23850728584924e-09	1.52629973109835e-06	Up
SEMA4G	-1.38858651506236	4.46401902950096	42.3641267012339	3.60081596293563e-09	1.6523954937282e-06	Not Sig
PRKCB	-2.26112689475849	0.741833647369379	40.6014965910704	4.40613535587588e-09	1.97010739322471e-06	Down
AQP5	-2.55666508270728	6.52592440524808	41.3801638125734	5.10200404756483e-09	2.22421866453589e-06	Down
CA2	1.70532313545025	1.13070393611243	40.8830232044502	5.94955152215414e-09	2.53044584008107e-06	Not Sig
ONECUT2	-2.40824226875089	2.69679541740398	40.8975106858673	6.12851444920913e-09	2.54450083250735e-06	Down
FXYD1	2.79535081289243	0.480044240311428	38.9617910296381	7.00802131268686e-09	2.81510848532123e-06	Up
SLC1A1	-1.42263459967498	4.47796631869657	40.4488428997718	7.1160193486848e-09	2.81510848532123e-06	Not Sig
ACSM3	-0.962175550781011	3.91436865260403	40.3912901596974	7.26458778755908e-09	2.81510848532123e-06	Not Sig
DLX5	-1.04141363357224	5.3276494688621	40.0647189481365	8.16601100487315e-09	3.06825685151595e-06	Not Sig
RASL12	3.16174486449071	3.42404832550762	40.0423758020447	8.26975983606203e-09	3.06825685151595e-06	Up
FUT6	2.03467167835361	0.748747186354585	39.3474486195245	8.63424789748888e-09	3.1367503090919e-06	Up
PORCN	1.40906454980053	4.20355013323962	39.5516286240561	9.82565607907131e-09	3.49590936300167e-06	Not Sig
FLRT3	-2.07286577789636	3.04874121385912	39.5057301272202	1.00238254473038e-08	3.49590936300167e-06	Down
KMO	2.24312184476265	-1.44723153416943	36.5491743119322	1.2287342507475e-08	4.20130742441862e-06	Up
DSC3	-2.06807463469277	0.340264035293109	37.205982965431	1.39200453082904e-08	4.66803365549938e-06	Down
PECAM1	2.03350149938636	2.37151617936678	38.4932576803093	1.44714951888577e-08	4.76139496421322e-06	Up
LYZ	2.64380943768795	1.1910645839152	38.0714878819793	1.69561446343964e-08	5.47557870619636e-06	Up
LRRTM1	-2.05848873753872	3.35430335493798	37.9206217686299	1.78223910785606e-08	5.65067010232617e-06	Down
