gene	p.value	FDR	summary.logFC	logFC.pre.ciliated	logFC.ciliated	logFC.secretory.mid	logFC.secretory.early	logFC.luminal.late	logFC.transcriptionally.active	logFC.luminal.early	logFC.MUC5B.	logFC.KRT5.	logFC.remodeling	logFC.cycling	logFC.hormone.responsive.early	logFC.hormone.responsive.late
DYNLT3	0.00610699871342221	1	2.87399773865062	NA	1.24370512140997	0.333823247473607	1.01401664687133	1.27012395677407	1.25238676315732	1.22942242375671	2.87399773865062	NA	1.03933067553927	2.44215691505833	1.67493567007945	1.60669978344062
PAEP	0.00852920550111893	1	5.80031306111132	NA	5.18392634894471	0.684761176763368	3.87579085836122	3.78575743103385	2.2265497264648	3.40404503456642	5.80031306111132	NA	1.83681676545919	5.93347899088042	5.05322437231402	4.28169383167344
CXCL14	0.0110180036872226	1	4.18078297440994	NA	3.48240766443637	0.690399174285239	2.5052175906483	3.25471704040227	2.39445641759094	3.14513301696699	4.18078297440994	NA	1.77299032498356	4.19700974994049	3.72081394417204	2.87580346680643
RAB11A	0.0150400469462711	1	1.20570579634991	NA	1.09826615511863	0.430628458287093	0.945028212925006	0.825349076528116	1.20067159462961	1.0005549684501	1.20570579634991	NA	0.986173042383255	1.87033346780381	1.12969552837829	1.40405262470384
LACTB2	0.0155333800052195	1	0.94790240017498	NA	0.160429721195192	0.059779418102823	0.593945203019857	0.275460179159111	0.243207294051337	0.244789784663483	0.94790240017498	NA	0.240032588616591	0.886486461034069	0.54191269807535	0.726651041802506
UQCR11	0.020901048596636	1	0.502410133867297	NA	0.697081980310113	0.613529839581258	0.441811430487526	0.327408977327458	1.12166867850506	0.590631681347071	0.502410133867297	NA	0.829448793374165	0.656465189217371	0.779196727866062	0.568871346195682
GPX3	0.0250159208492579	1	2.40192104101509	NA	3.07490533848546	0.314591607931585	1.76553141789353	1.20054671086083	2.04630665044709	1.70684754969527	2.40192104101509	NA	1.7047424026975	2.01859366885038	1.91103316380781	1.47951270104575
MGST1	0.0300537723041872	1	1.9856055812131	NA	2.26822475525163	0.543577475958039	0.577582636260328	0.432291036127639	1.92760822301377	1.33973834003939	1.9856055812131	NA	1.0713084649432	0.942393576510373	1.11344894941955	0.674076857198355
PHYHIPL	0.0306854403597755	1	0.362838356674933	NA	0.760497631725558	0.185670966909489	0.362838356674933	0.421504093337707	0.687624500488841	0.552451944888609	1.40746555852963	NA	0.429942290449596	1.19629532160453	0.915302591827541	0.813663355009956
ANXA2	0.0352766934609507	1	0.529315113446341	NA	0.642832124522684	0.561639275918865	0.529315113446341	0.794088261427655	1.23451122317716	0.966247691098811	2.04363868988671	NA	0.968648731290468	1.45001798223956	1.48590328333904	1.28621249179638
CLEC4E	0.03772151992462	1	0.0430802168206058	NA	0.309598678635802	0.0430802168206058	0.556074455776144	0.55378473971536	0.216994739411039	0.35068411564864	1.23687892389517	NA	0.317969297781708	0.850656616801158	0.625108173519015	0.691238789192925
PPIB	0.0385064093840664	1	0.908709198992879	NA	1.80171922929232	0.632135917375853	0.691444162797308	0.668199348398926	1.58177726931825	0.885904511803445	0.908709198992879	NA	1.02459865099924	0.817238618101968	1.06450425480513	0.925864694730653
SEC61B	0.0385461458106121	1	1.13494561070916	NA	0.927637136631508	0.400650692379841	0.777030801552933	0.799902389116789	1.12256214932429	0.894871269281343	1.13494561070916	NA	0.905928835275844	1.23503510307018	1.05197073567709	0.921462955907731
MAOA	0.0422507639948957	1	1.08787903330874	NA	0.90980206922483	0.0994992750023273	0.503644191336987	0.708651280103418	0.868487770245636	1.06027865737862	1.08787903330874	NA	0.757351352004968	1.50743335905761	1.04768055364858	0.905579724562345
GUK1	0.0523689770188435	1	0.830497266025672	NA	0.83139059967174	0.592758757395205	0.426192133928317	0.446142486503227	1.07439598079154	0.481711049437201	0.830497266025672	NA	0.650136242799474	0.891758347302186	0.970578757959098	1.09435273585834
