term_name	p_value	term_size	query_size	intersection_size
mitotic cell cycle	7.79713033335177e-38	754	99	51
cell cycle process	2.31730664408066e-37	1042	99	56
mitotic cell cycle process	1.17926233856003e-36	630	99	47
chromosome organization	8.02881029856672e-35	525	99	43
cell cycle	1.29748463844524e-34	1319	99	58
chromosome segregation	8.04264280127585e-31	346	99	35
mitotic nuclear division	1.77775054962845e-28	246	99	30
nuclear division	5.37224766317003e-28	349	99	33
regulation of cell cycle process	5.82951030826632e-28	586	99	39
nuclear chromosome segregation	9.7175022625089e-28	263	99	30
sister chromatid segregation	1.80879732288743e-27	214	99	28
mitotic sister chromatid segregation	9.73638549172791e-27	177	99	26
organelle fission	1.65757178822006e-26	393	99	33
regulation of chromosome segregation	3.16083511743278e-26	121	99	23
positive regulation of cell cycle process	3.46346097644121e-26	187	99	26
regulation of chromosome separation	7.19841500506509e-25	69	99	19
positive regulation of cell cycle	7.19841500506509e-25	238	99	27
regulation of cell cycle	2.40212968740781e-24	854	99	41
chromosome separation	3.87947367177524e-24	75	99	19
mitotic cell cycle phase transition	7.16544302420315e-23	353	99	29
regulation of chromosome organization	7.62154398962419e-23	223	99	25
cell cycle phase transition	1.34921990433918e-22	441	99	31
regulation of nuclear division	9.09940646532087e-21	110	99	19
regulation of mitotic nuclear division	6.76813104010477e-20	101	99	18
regulation of sister chromatid segregation	1.2747404698556e-18	97	99	17
regulation of mitotic cell cycle phase transition	4.02868237817724e-18	273	99	23
regulation of cell cycle phase transition	7.03274952945459e-18	357	99	25
metaphase/anaphase transition of mitotic cell cycle	1.03864795892847e-17	89	99	16
metaphase/anaphase transition of cell cycle	1.21357800547794e-17	90	99	16
regulation of mitotic sister chromatid separation	1.28291768245153e-17	56	99	14
mitotic sister chromatid separation	2.14751727519968e-17	58	99	14
regulation of mitotic cell cycle	1.09722672011404e-16	403	99	25
regulation of mitotic metaphase/anaphase transition	1.70025574285603e-16	85	99	15
regulation of mitotic sister chromatid segregation	1.72963879165494e-16	51	99	13
mitotic cell cycle checkpoint signaling	1.87835425395128e-16	131	99	17
regulation of metaphase/anaphase transition of cell cycle	1.87835425395128e-16	86	99	15
negative regulation of mitotic nuclear division	2.10841406059951e-16	52	99	13
negative regulation of nuclear division	5.98646284531496e-16	56	99	13
cell cycle checkpoint signaling	9.43020576884754e-16	173	99	18
mitotic spindle checkpoint signaling	1.15378999524146e-15	44	99	12
mitotic spindle assembly checkpoint signaling	1.15378999524146e-15	44	99	12
spindle assembly checkpoint signaling	1.15378999524146e-15	44	99	12
spindle checkpoint signaling	1.39878098412001e-15	45	99	12
negative regulation of mitotic sister chromatid separation	1.39878098412001e-15	45	99	12
negative regulation of mitotic metaphase/anaphase transition	1.39878098412001e-15	45	99	12
negative regulation of sister chromatid segregation	1.39878098412001e-15	45	99	12
negative regulation of mitotic sister chromatid segregation	1.39878098412001e-15	45	99	12
negative regulation of chromosome segregation	1.73511873304849e-15	46	99	12
negative regulation of chromosome separation	1.73511873304849e-15	46	99	12
negative regulation of metaphase/anaphase transition of cell cycle	1.73511873304849e-15	46	99	12
negative regulation of mitotic cell cycle phase transition	1.73511873304849e-15	152	99	17
DNA metabolic process	1.45049845137213e-14	794	99	30
regulation of organelle organization	1.67872864285339e-14	930	99	32
positive regulation of chromosome segregation	1.89081331895404e-14	28	99	10
microtubule cytoskeleton organization involved in mitosis	2.71550103791756e-14	149	99	16
positive regulation of chromosome separation	2.76857769369861e-14	29	99	10
negative regulation of cell cycle process	2.84407142441519e-14	250	99	19
negative regulation of cell cycle phase transition	2.85284403438666e-14	214	99	18
negative regulation of mitotic cell cycle	6.6360735525208e-14	190	99	17
chromosome localization	6.88760894798042e-14	104	99	14
negative regulation of chromosome organization	2.34428655892021e-13	89	99	13
attachment of spindle microtubules to kinetochore	3.81398357657784e-13	52	99	11
metaphase chromosome alignment	4.74027578391768e-13	94	99	13
establishment of chromosome localization	9.34136151033957e-13	99	99	13
negative regulation of cell cycle	1.69608103913608e-12	315	99	19
organelle organization	1.39472706863689e-11	2926	99	50
mitotic spindle organization	1.40856116627896e-11	122	99	13
DNA replication	1.67740581301953e-11	227	99	16
G2/M transition of mitotic cell cycle	6.68610164785784e-11	108	99	12
mitotic chromosome condensation	1.89100903565744e-10	18	99	7
regulation of DNA metabolic process	2.31818230673409e-10	418	99	19
cell cycle G2/M phase transition	2.51541483551346e-10	121	99	12
chromosome condensation	5.60205531540958e-10	34	99	8
regulation of cytokinesis	7.83263003545669e-10	76	99	10
spindle organization	1.03190223621125e-09	172	99	13
positive regulation of cell cycle phase transition	1.46253424911456e-09	81	99	10
positive regulation of mitotic cell cycle	3.7496002947077e-09	89	99	10
establishment of organelle localization	4.52696244773649e-09	385	99	17
positive regulation of mitotic cell cycle phase transition	5.20399348070091e-09	66	99	9
cellular component organization or biogenesis	5.88918319855181e-09	5031	99	62
negative regulation of organelle organization	6.54026657179793e-09	291	99	15
DNA repair	6.63601408362114e-09	513	99	19
cytokinesis	7.28693786835959e-09	163	99	12
positive regulation of chromosome condensation	8.17219947613718e-09	8	99	5
DNA replication initiation	1.53289439506194e-08	32	99	7
cellular component organization	1.79366056236748e-08	4880	99	60
organelle localization	2.19455924497255e-08	490	99	18
