term_name	p_value	term_size	query_size	intersection_size
defense response to symbiont	7.20290919693579e-12	645	97	26
defense response to other organism	7.20290919693579e-12	699	97	27
immune response	7.20290919693579e-12	1043	97	32
response to biotic stimulus	1.22135704625657e-11	863	97	29
response to external biotic stimulus	2.40390296240152e-11	831	97	28
response to other organism	2.40390296240152e-11	831	97	28
biological process involved in interspecies interaction between organisms	8.05060488585753e-11	950	97	29
innate immune response	4.28741357416815e-10	545	97	22
defense response	4.85345610562073e-10	1031	97	29
immune system process	7.81193832953491e-10	1561	97	35
response to peptide	5.05456510299832e-09	506	97	20
response to cytokine	5.05456510299832e-09	506	97	20
defense response to virus	5.65160987132153e-09	207	97	14
response to external stimulus	6.24587913723821e-09	1335	97	31
peptide antigen assembly with MHC class II protein complex	1.11005839874749e-08	13	97	6
MHC class II protein complex assembly	1.11005839874749e-08	13	97	6
response to virus	2.82760534970225e-08	285	97	15
antigen processing and presentation of exogenous peptide antigen	8.03359540853962e-08	31	97	7
peptide antigen assembly with MHC protein complex	8.8978182587795e-08	18	97	6
MHC protein complex assembly	8.8978182587795e-08	18	97	6
regulation of immune response	8.8978182587795e-08	616	97	20
antigen processing and presentation of exogenous antigen	8.8978182587795e-08	32	97	7
regulation of immune system process	1.64863857489932e-07	1020	97	25
response to type II interferon	1.69798399767408e-07	82	97	9
positive regulation of immune system process	1.95553639147449e-07	721	97	21
antigen processing and presentation of exogenous peptide antigen via MHC class II	5.07294304451422e-07	24	97	6
regulation of immune effector process	6.79302311701967e-07	215	97	12
antigen processing and presentation of peptide antigen via MHC class II	1.0206462818411e-06	27	97	6
antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	1.56575990978349e-06	29	97	6
antigen processing and presentation	2.63483191789661e-06	81	97	8
antigen processing and presentation of peptide antigen	4.11639621190538e-06	57	97	7
cellular response to cytokine stimulus	5.52182412088235e-06	441	97	15
positive regulation of immune response	6.55697852321688e-06	515	97	16
immune effector process	1.42661144238234e-05	348	97	13
regulation of viral process	1.65112724841307e-05	144	97	9
regulation of response to biotic stimulus	4.1301058995309e-05	384	97	13
cytokine-mediated signaling pathway	4.22666462329322e-05	323	97	12
positive regulation of cell-cell adhesion	4.74002466303765e-05	214	97	10
regulation of viral life cycle	5.25129311196604e-05	123	97	8
leukocyte proliferation	5.31784894127414e-05	168	97	9
response to stress	6.29960556944587e-05	2636	97	36
regulation of mononuclear cell proliferation	7.00189586274304e-05	129	97	8
leukocyte activation	7.35368257037615e-05	553	97	15
positive regulation of response to stimulus	7.699927922878e-05	1651	97	27
positive regulation of leukocyte cell-cell adhesion	8.40097558660285e-05	180	97	9
cell activation	9.84330278879285e-05	648	97	16
cellular response to type II interferon	9.84330278879285e-05	61	97	6
regulation of leukocyte proliferation	0.00014020912100221	144	97	8
regulation of cell activation	0.000173631531626886	380	97	12
mononuclear cell proliferation	0.000173632878304599	149	97	8
viral process	0.000213208854032212	323	97	11
positive regulation of cell adhesion	0.000215365497707203	324	97	11
leukocyte cell-cell adhesion	0.000259964655314216	269	97	10
regulation of defense response	0.000259964655314216	545	97	14
positive regulation of lymphocyte activation	0.000263043465457235	212	97	9
positive regulation of T cell activation	0.00031518971573852	164	97	8
regulation of leukocyte activation	0.000328107888015406	342	97	11
regulation of response to external stimulus	0.000334004507886856	726	97	16
viral life cycle	0.000334004507886856	220	97	9
negative regulation of immune response	0.000348988257175237	120	97	7
antigen processing and presentation of endogenous antigen	0.000404851148353826	23	97	4
positive regulation of leukocyte activation	0.000404851148353826	227	97	9
negative regulation of viral process	0.000438105477220952	83	97	6
regulation of lymphocyte proliferation	0.000499477548081689	128	97	7
positive regulation of canonical NF-kappaB signal transduction	0.000514653185351009	179	97	8
regulation of leukocyte cell-cell adhesion	0.000518875009250425	236	97	9
positive regulation of cell activation	0.000528629238929114	237	97	9
positive regulation of leukocyte proliferation	0.000606602827174805	89	97	6
positive regulation of monocyte differentiation	0.000613766038706955	9	97	3
regulation of leukocyte mediated immunity	0.000677406459631873	136	97	7
positive regulation of biological process	0.000788233631508699	4486	97	47
response to chemical	0.000881483186051631	2047	97	28
leukocyte mediated immunity	0.000881483186051631	196	97	8
regulation of cell-cell adhesion	0.00090130520698043	322	97	10
T cell activation	0.0009622675160224	325	97	10
lymphocyte proliferation	0.00103006225961496	147	97	7
regulation of protein phosphorylation	0.00106117064008625	639	97	14
myeloid dendritic cell antigen processing and presentation	0.00108521240250181	2	97	2
antigen processing and presentation of endogenous peptide antigen via MHC class II	0.00108521240250181	2	97	2
