term_name	p_value	term_size	query_size	intersection_size
response to unfolded protein	8.9017108235888e-17	101	99	17
response to topologically incorrect protein	5.28168121629615e-16	116	99	17
protein folding	5.60127744023891e-15	163	99	18
protein refolding	3.0747377110831e-14	23	99	10
response to heat	9.56414464279222e-14	68	99	13
response to temperature stimulus	6.701845429508e-12	94	99	13
regulation of apoptotic process	7.13567194897695e-11	931	99	29
regulation of programmed cell death	1.42201741233233e-10	962	99	29
apoptotic process	6.18360333016768e-10	1181	99	31
programmed cell death	1.59898586327238e-09	1230	99	31
cell death	1.6141566741129e-09	1235	99	31
cellular response to heat	2.79554542182779e-09	49	99	9
response to stress	1.36704956073494e-08	2636	99	44
protein maturation	1.9396672625918e-08	426	99	18
chaperone cofactor-dependent protein refolding	2.35727508367325e-08	26	99	7
chaperone-mediated protein folding	2.60099584967949e-08	64	99	9
negative regulation of cellular process	3.65807184000553e-08	3689	99	52
'de novo' post-translational protein folding	7.65382371588781e-08	31	99	7
negative regulation of macromolecule metabolic process	9.21470913571213e-08	1963	99	36
inclusion body assembly	1.27209397662296e-07	19	99	6
response to abiotic stimulus	1.2925157836975e-07	621	99	20
cellular response to stress	1.2927124247909e-07	1420	99	30
negative regulation of biological process	1.39785656237045e-07	3852	99	52
negative regulation of metabolic process	1.39877273678584e-07	2116	99	37
'de novo' protein folding	1.39877273678584e-07	35	99	7
negative regulation of inclusion body assembly	1.58387821276969e-07	10	99	5
gene expression	2.4987385504946e-07	4596	99	57
regulation of metabolic process	4.11390854169007e-07	4941	99	59
regulation of macromolecule metabolic process	4.11390854169007e-07	4523	99	56
regulation of inclusion body assembly	6.90633522823469e-07	13	99	5
macromolecule metabolic process	1.21100119550971e-06	6756	99	70
regulation of cellular process	1.39523311583591e-06	8148	99	78
positive regulation of apoptotic process	1.98196959490277e-06	347	99	14
positive regulation of biological process	2.53745985496272e-06	4486	99	54
regulation of primary metabolic process	2.53745985496272e-06	4217	99	52
positive regulation of programmed cell death	2.68032112813248e-06	358	99	14
macromolecule biosynthetic process	3.9116888460109e-06	4966	99	57
negative regulation of RNA metabolic process	3.96513822739534e-06	1035	99	23
negative regulation of nucleobase-containing compound metabolic process	4.96923464527311e-06	1137	99	24
negative regulation of macromolecule biosynthetic process	4.96923464527311e-06	1608	99	29
positive regulation of cellular process	7.99234589124652e-06	4241	99	51
